"name","part","address","register_bits","argument_bits","rw"
"KYONEX",,"0x0000","15",,"w"
"KYONB",,"0x0000","14",,"rw"
"SSCTL",,"0x0000","10",,"rw"
"LPCTL",,"0x0000","9",,"rw"
"PCMS",,"0x0000","8-7",,"rw"
"SA","0","0x0000","6-0","22-16","rw"
"SA","1","0x0004","15-0",,"rw"
"LSA",,"0x0008","15-0",,"rw"
"LEA",,"0x000c","15-0",,"rw"
"D2R",,"0x0010","15-11",,"rw"
"D1R",,"0x0010","10-6",,"rw"
"AR",,"0x0010","4-0",,"rw"
"LPSLNK",,"0x0014","14",,"rw"
"KRS",,"0x0014","13-10",,"rw"
"DL",,"0x0014","9-5",,"rw"
"RR",,"0x0014","4-0",,"rw"
"OCT",,"0x0018","14-11",,"rw"
"FNS",,"0x0018","9-0",,"rw"
"LFORE",,"0x001c","15",,"rw"
"LFOF",,"0x001c","14-10",,"rw"
"PLFOWS",,"0x001c","9-8",,"rw"
"PLFOS",,"0x001c","7-5",,"rw"
"ALFOWS",,"0x001c","4-3",,"rw"
"ALFOS",,"0x001c","2-0",,"rw"
"IMXL",,"0x0020","7-4",,"rw"
"ISEL",,"0x0020","3-0",,"rw"
"DISDL",,"0x0024","11-8",,"rw"
"DIPAN",,"0x0024","4-0",,"rw"
"TL",,"0x0028","15-8",,"rw"
"VOFF",,"0x0028","6",,"rw"
"LPOFF",,"0x0028","5",,"rw"
"Q",,"0x0028","4-0",,"rw"
"FLV0",,"0x002c","12-0",,"rw"
"FLV1",,"0x0030","12-0",,"rw"
"FLV2",,"0x0034","12-0",,"rw"
"FLV3",,"0x0038","12-0",,"rw"
"FLV4",,"0x003c","12-0",,"rw"
"FAR",,"0x0040","12-8",,"rw"
"FD1R",,"0x0040","4-0",,"rw"
"FD2R",,"0x0044","12-8",,"rw"
"FRR",,"0x0044","4-0",,"rw"
