"register_name","enum_name","bits","bit_name","value","mask","description"
"VREG","output_mode","1-0","vga","0b00",,
"VREG","output_mode","1-0","rgb","0b10",,
"VREG","output_mode","1-0","cvbs_yc","0b11",,
,,,,,,
"PDTRA","cable_type","9-8","vga","0b00",,
"PDTRA","cable_type","9-8","rbg","0b10",,
"PDTRA","cable_type","9-8","cvbs_yc","0b11",,
,,,,,,
"PDTRA","video_mode","4-2","ntsc","0b000",,
"PDTRA","video_mode","4-2","pal","0b001",,
"PDTRA","video_mode","4-2","pal_m","0b011",,
"PDTRA","video_mode","4-2","pal_n","0b101",,
"PDTRA","video_mode","4-2","forced_ntsc_interlacing","0b110",,
"PDTRA","video_mode","4-2","forced_pal_interlacing","0b111",,
