"block","address","size","name","r/w","description"
"gdrom","0018","1","alternate_status","R",
"gdrom","0018","1","device_control","W",
"gdrom","0080","2","data","RW",
"gdrom","0084","1","error","R",
"gdrom","0084","1","features","W",
"gdrom","0088","1","interrupt_reason","R",
"gdrom","0088","1","sector_count","W",
"gdrom","008C","1","sector_number","R",
"gdrom","0090","1","byte_count_low","RW",
"gdrom","0094","1","byte_count_high","RW",
"gdrom","0098","1","drive_select","RW",
"gdrom","009C","1","status","R",
"gdrom","009C","1","command","W",
