"register_name","enum_name","bits","bit_name","value","mask","description"
"status",,"7","bsy",,,
"status",,"6","drdy",,,
"status",,"5","df",,,
"status",,"4","dsc",,,
"status",,"3","drq",,,
"status",,"2","corr",,,
"status",,"0","check",,,
,,,,,,
"alternate_status",,"7","bsy",,,
"alternate_status",,"6","drdy",,,
"alternate_status",,"5","df",,,
"alternate_status",,"4","dsc",,,
"alternate_status",,"3","drq",,,
"alternate_status",,"2","corr",,,
"alternate_status",,"0","check",,,
,,,,,,
"command","code","7-0","soft_reset","0x08",,
"command","code","7-0","execute_device_diagnostic","0x90",,
"command","code","7-0","nop","0x00",,
"command","code","7-0","packet_command","0xa0",,
"command","code","7-0","identify_device","0xa1",,
"command","code","7-0","set_features","0xef",,
,,,,,,
"device_control",,"3,0","device_control","0b1000",,
"device_control",,"2","srst","1",,
"device_control",,"1","nien","1",,
,,,,,,
"drive_select",,"7-4","drive_select","0b1010",,
"drive_select",,"3-0","lun",,"0xf",
,,,,,,
"error",,"7-4","sense_key",,,
"error",,"3","mcr",,,
"error",,"2","abrt",,,
"error",,"1","eomf",,,
"error",,"0","ili",,,
,,,,,,
"features","dma","0","disable","0",,
"features","dma","0","enable","1",,
,,,,,,
"features_ata","set_clear","7","clear","0",,
"features_ata","set_clear","7","set","1",,
"features_ata","command","6-0","set_transfer_mode","3",,
,,,,,,
"interrupt_reason",,"1","io",,,
"interrupt_reason",,"0","cod",,,
,,,,,,
"sector_count","transfer_mode","7-0","pio_default_transfer_mode","0b00000000",,
"sector_count","transfer_mode","7-0","pio_flow_control_transfer_mode","0b00001000",,
"sector_count","transfer_mode","7-0","single_word_dma_mode","0b00010000",,
"sector_count","transfer_mode","7-0","multi_word_dma_mode","0b00100000",,
,,,,,,
"sector_number",,"7-4","disc_format",,,
"sector_number",,"3-0","status",,,
,,,,,,
"error_ata","sense_key","3-0","no_sense","0x0",,
"error_ata","sense_key","3-0","recovered_error","0x1",,
"error_ata","sense_key","3-0","not_ready","0x2",,
"error_ata","sense_key","3-0","medium_error","0x3",,
"error_ata","sense_key","3-0","hardware_error","0x4",,
"error_ata","sense_key","3-0","illegal_request","0x5",,
"error_ata","sense_key","3-0","unit_attention","0x6",,
"error_ata","sense_key","3-0","data_protect","0x7",,
"error_ata","sense_key","3-0","aborted_command","0xb",,
