"register_name","enum_name","bits","bit_name","value","mask","description"
"isp_tsp_instruction_word","depth_compare_mode","31-29","never",0,,
"isp_tsp_instruction_word","depth_compare_mode","31-29","less",1,,
"isp_tsp_instruction_word","depth_compare_mode","31-29","equal",2,,
"isp_tsp_instruction_word","depth_compare_mode","31-29","less_or_equal",3,,
"isp_tsp_instruction_word","depth_compare_mode","31-29","greater",4,,
"isp_tsp_instruction_word","depth_compare_mode","31-29","greater_or_equal",5,,
"isp_tsp_instruction_word","depth_compare_mode","31-29","not_equal",6,,
"isp_tsp_instruction_word","depth_compare_mode","31-29","always",7,,
,,,,,,
"isp_tsp_instruction_word","volume_instruction","31-29","normal_polygon",0,,
"isp_tsp_instruction_word","volume_instruction","31-29","inside_last_polygon",1,,
"isp_tsp_instruction_word","volume_instruction","31-29","outside_last_polygon",2,,
,,,,,,
"isp_tsp_instruction_word","culling_mode","28-27","no_culling",0,,
"isp_tsp_instruction_word","culling_mode","28-27","cull_if_small",1,,
"isp_tsp_instruction_word","culling_mode","28-27","cull_if_negative",2,,
"isp_tsp_instruction_word","culling_mode","28-27","cull_if_positive",3,,
,,,,,,
"isp_tsp_instruction_word",,26,"z_write_disable",1,,
"isp_tsp_instruction_word",,25,"texture",1,,
"isp_tsp_instruction_word",,24,"offset",1,,
"isp_tsp_instruction_word",,23,"gouraud_shading",1,,
"isp_tsp_instruction_word",,22,"16bit_uv",1,,
"isp_tsp_instruction_word",,21,"cache_bypass",1,,
"isp_tsp_instruction_word",,20,"dcalc_ctrl",1,,
,,,,,,
"tsp_instruction_word","src_alpha_instr","31-29","zero",0,,
"tsp_instruction_word","src_alpha_instr","31-29","one",1,,
"tsp_instruction_word","src_alpha_instr","31-29","other_color",2,,
"tsp_instruction_word","src_alpha_instr","31-29","inverse_other_color",3,,
"tsp_instruction_word","src_alpha_instr","31-29","src_alpha",4,,
"tsp_instruction_word","src_alpha_instr","31-29","inverse_src_alpha",5,,
"tsp_instruction_word","src_alpha_instr","31-29","dst_alpha",6,,
"tsp_instruction_word","src_alpha_instr","31-29","inverse_dst_alpha",7,,
,,,,,,
"tsp_instruction_word","dst_alpha_instr","28-26","zero",0,,
"tsp_instruction_word","dst_alpha_instr","28-26","one",1,,
