"register_name","enum_name","bits","bit_name","value","mask","description"
"MDSTAR",,"27-0","table_address",,"0xfffffe0",
,,,,,,
"MDTSEL","trigger_select",0,"software_initiation",0,,
"MDTSEL","trigger_select",0,"v_blank_initiation",1,,
,,,,,,
"MDEN","dma_enable",0,"abort",0,,
"MDEN","dma_enable",0,"enable",1,,
"MDEN","dma_enable",0,"status",,,
,,,,,,
"MDST","start_status",0,"status",,,
"MDST","start_status",0,"start",1,,
,,,,,,
"MSYS",,"31-16","time_out_counter",,"0xffff",
"MSYS",,12,"single_hard_trigger",1,,
"MSYS","sending_rate","9-8","_2M",0,,
"MSYS","sending_rate","9-8","_1M",1,,
"MSYS",,"3-0","delay_time",,"0xf",
,,,,,,
"MST",,31,"move_status",,,
"MST",,"26-24","internal_frame_monitor",,,
"MST",,"21-16","internal_state_monitor",,,
"MST",,"7-0","line_monitor",,,
,,,,,,
"MSHTCL",,0,"hard_dma_clear",1,,
,,,,,,
"MDAPRO",,"31-16","security_code","0x6155",,
"MDAPRO",,"14-8","top_address",,"0x7f",
"MDAPRO",,"6-0","bottom_address",,"0x7f",
,,,,,,
"MMSEL","msb_selection",0,"bit7",0,,
"MMSEL","msb_selection",0,"bit31",1,,
,,,,,,
"MTXDAD",,"28-0","txd_address_counter",,,
,,,,,,
"MRXDAD",,"28-0","rxd_address_counter",,,
,,,,,,
"MRXDBD",,"28-0","rxd_base_address",,,
