"data_transfer",7,6,5,4,3,2,1,0
"digital_button","r","l","d","u","s","a","b","c"
"option",,,,,,,"batt","wire"
"analog_coordinate_overflow",,,,,,,,
"reserved",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
