"register_name","enum_name","bits","bit_name","value","mask","description"
,"pointer_type","31-29","triangle_strip","0b000",,
,"pointer_type","31-29","triangle_array","0b100",,
,"pointer_type","31-29","quad_array","0b101",,
,"pointer_type","31-29","object_pointer_block_link","0b111",,
,,,,,,
"triangle_strip","mask","30-25","t0","0b100000",,
"triangle_strip","mask","30-25","t1","0b010000",,
"triangle_strip","mask","30-25","t2","0b001000",,
"triangle_strip","mask","30-25","t3","0b000100",,
"triangle_strip","mask","30-25","t4","0b000010",,
"triangle_strip","mask","30-25","t5","0b000001",,
"triangle_strip",,"24","shadow","1",,
"triangle_strip",,"23-21","skip",,"0b111",
"triangle_strip",,"20-0","start",,"0x1fffff",
,,,,,,
"triangle_array",,"28-25","number_of_triangles",,"0b1111",
"triangle_array",,"24","shadow","1",,
"triangle_array",,"23-21","skip",,"0b111",
"triangle_array",,"20-0","start",,"0x1fffff",
,,,,,,
"quad_array",,"28-25","number_of_quads",,"0b1111",
"quad_array",,"24","shadow","1",,
"quad_array",,"23-21","skip",,"0b111",
"quad_array",,"20-0","start",,"0x1fffff",
,,,,,,
"object_pointer_block_link",,"28","end_of_list","1",,
"object_pointer_block_link",,"23-0","next_pointer_block",,"0xfffffc",
