"block","offset","address","size","name","r/w","description"
"CCN","00","0000",4,"PTEH","RW","Page table entry high register"
"CCN","00","0004",4,"PTEL","RW","Page table entry low register"
"CCN","00","0008",4,"TTB","RW","Translation table base register"
"CCN","00","000c",4,"TEA","RW","TLB exception address register"
"CCN","00","0010",4,"MMUCR","RW","MMU control register"
"CCN","00","0014",1,"BASRA","RW","Break ASID register A"
"CCN","00","0018",1,"BASRB","RW","Break ASID register B"
"CCN","00","001c",4,"CCR","RW","Cache control register"
"CCN","00","0020",4,"TRA","RW","TRAPA exception register"
"CCN","00","0024",4,"EXPEVT","RW","Exception event register"
"CCN","00","0028",4,"INTEVT","RW","Interrupt event register"
"CCN","00","0034",4,"PTEA","RW","Page table entry assistance register"
"CCN","00","0038",4,"QACR0","RW","Queue address control register 0"
"CCN","00","003c",4,"QACR1","RW","Queue address control register 1"
,,,,,,
"UBC","20","0000",4,"BARA","RW","Break address register A"
"UBC","20","0004",1,"BAMRA","RW","Break address mask register A"
"UBC","20","0008",2,"BBRA","RW","Break bus cycle register A"
"UBC","20","000c",4,"BARB","RW","Break address register B"
"UBC","20","0010",1,"BAMRB","RW","Break address mask register B"
"UBC","20","0014",2,"BBRB","RW","Break bus cycle register B"
"UBC","20","0018",4,"BDRB","RW","Break data register B"
"UBC","20","001c",4,"BDMRB","RW","Break data mask register B"
"UBC","20","0020",2,"BRCR","RW","Break control register"
,,,,,,
"BSC","80","0000",4,"BCR1","RW","Bus control register 1"
"BSC","80","0004",2,"BCR2","RW","Bus control register 2"
"BSC","80","0008",4,"WCR1","RW","Wait state control register 1"
"BSC","80","000c",4,"WCR2","RW","Wait state control register 2"
"BSC","80","0010",4,"WCR3","RW","Wait state control register 3"
"BSC","80","0014",4,"MCR","RW","Memory control register"
"BSC","80","0018",2,"PCR","RW","PCMCIA control register"
"BSC","80","001c",2,"RTCSR","RW","Refresh timer control/status register"
"BSC","80","0020",2,"RTCNT","RW","Refresh timer counter"
"BSC","80","0024",2,"RTCOR","RW","Refresh timer constant counter"
"BSC","80","0028",2,"RFCR","RW","Refresh count register"
"BSC","80","002c",4,"PCTRA","RW","Port control register A"
"BSC","80","0030",2,"PDTRA","RW","Port data register A"
"BSC","80","0040",4,"PCTRB","RW","Port control register B"
"BSC","80","0044",2,"PDTRB","RW","Port data register B"
"BSC","80","0048",2,"GPIOIC","RW","GPIO interrupt control register"
"BSC","90","0000",65536,"SDMR2","W","Synchronous DRAM mode registers"
"BSC","94","0000",65536,"SDMR3","W","Synchronous DRAM mode registers"
,,,,,,
"DMAC","a0","0000",4,"SAR0","RW","DMA source address register 0"
