"register_name","enum_name","bits","bit_name","value","mask","description"
"TA_OL_BASE",,"23-0","base_address",,"0xffffe0","in 32-byte units"
,,,,,,
"TA_ISP_BASE",,"23-0","base_address",,"0xfffffc","in 4-byte units"
,,,,,,
"TA_OL_LIMIT",,"23-0","limit_address",,"0xffffe0","in 32-byte units"
,,,,,,
"TA_ISP_LIMIT",,"23-0","limit_address",,"0xfffffc","in 4-byte units"
,,,,,,
"TA_NEXT_OPB",,"23-0","address",,"0xffffe0","in 32-byte units"
,,,,,,
"TA_ITP_CURRENT",,"23-0","address",,,
,,,,,,
"TA_GLOB_TILE_CLIP",,"19-16","tile_y_num",,"0xf",
"TA_GLOB_TILE_CLIP",,"5-0","tile_x_num",,"0x1f",
,,,,,,
"TA_ALLOC_CTRL","opb_mode",20,"increasing_addresses",0,,
"TA_ALLOC_CTRL","opb_mode",20,"decreasing_addresses",1,,
"TA_ALLOC_CTRL","pt_opb","17-16","no_list",0,,
"TA_ALLOC_CTRL","pt_opb","17-16","_8x4byte",1,,
"TA_ALLOC_CTRL","pt_opb","17-16","_16x4byte",2,,
"TA_ALLOC_CTRL","pt_opb","17-16","_32x4byte",3,,
"TA_ALLOC_CTRL","tm_opb","13-12","no_list",0,,
"TA_ALLOC_CTRL","tm_opb","13-12","_8x4byte",1,,
"TA_ALLOC_CTRL","tm_opb","13-12","_16x4byte",2,,
"TA_ALLOC_CTRL","tm_opb","13-12","_32x4byte",3,,
"TA_ALLOC_CTRL","t_opb","9-8","no_list",0,,
"TA_ALLOC_CTRL","t_opb","9-8","_8x4byte",1,,
"TA_ALLOC_CTRL","t_opb","9-8","_16x4byte",2,,
"TA_ALLOC_CTRL","t_opb","9-8","_32x4byte",3,,
"TA_ALLOC_CTRL","om_opb","5-4","no_list",0,,
"TA_ALLOC_CTRL","om_opb","5-4","_8x4byte",1,,
"TA_ALLOC_CTRL","om_opb","5-4","_16x4byte",2,,
"TA_ALLOC_CTRL","om_opb","5-4","_32x4byte",3,,
"TA_ALLOC_CTRL","o_opb","1-0","no_list",0,,
"TA_ALLOC_CTRL","o_opb","1-0","_8x4byte",1,,
"TA_ALLOC_CTRL","o_opb","1-0","_16x4byte",2,,
"TA_ALLOC_CTRL","o_opb","1-0","_32x4byte",3,,
,,,,,,
"TA_LIST_INIT",,31,"list_init",1,,
,,,,,,
"TA_YUV_TEX_BASE",,"23-0","base_address",,"0xfffff8","in 8-byte units"
,,,,,,
"TA_YUV_TEX_CTRL","yuv_form",24,"yuv420",0,,
"TA_YUV_TEX_CTRL","yuv_form",24,"yuv422",1,,
"TA_YUV_TEX_CTRL","yuv_tex",16,"one_texture",0,,
"TA_YUV_TEX_CTRL","yuv_tex",16,"multiple_textures",1,,
"TA_YUV_TEX_CTRL",,"13-8","yuv_v_size",,"0x3f",
"TA_YUV_TEX_CTRL",,"5-0","yuv_u_size",,"0x3f",
,,,,,,
"TA_YUV_TEX_CNT",,"12-0","yuv_num",,,
,,,,,,
"TA_LIST_CONT",,31,"list_cont",1,,
,,,,,,
"TA_NEXT_OPB_INIT",,"23-0","address",,"0xffffe0","in 32-byte units"
,,,,,,
"TA_OL_POINTERS",,31,"entry",,,
"TA_OL_POINTERS",,30,"sprite",,,
"TA_OL_POINTERS",,29,"triangle",,,
"TA_OL_POINTERS",,"28-25","number_of_triangles_quads",,,
"TA_OL_POINTERS",,24,"shadow",,,
"TA_OL_POINTERS",,"23-2","pointer_address",,,
"TA_OL_POINTERS",,"1-0","skip",,,
