"register_name","enum_name","bits","bit_name","value","mask","description"
"para_control","para_type","31-29","end_of_list",0,,
"para_control","para_type","31-29","user_tile_clip",1,,
"para_control","para_type","31-29","object_list_set",2,,
"para_control","para_type","31-29","polygon_or_modifier_volume",4,,
"para_control","para_type","31-29","sprite",5,,
"para_control","para_type","31-29","vertex_parameter",7,,
,,,,,,
"para_control",,28,"end_of_strip",1,,
,,,,,,
"para_control","list_type","26-24","opaque",0,,
"para_control","list_type","26-24","opaque_modifier_volume",1,,
"para_control","list_type","26-24","translucent",2,,
"para_control","list_type","26-24","translucent_modifier_volume",3,,
"para_control","list_type","26-24","punch_through",4,,
,,,,,,
"group_control","group_en",23,"group_en",1,,
,,,,,,
"group_control","strip_len","19-18","1_strip",0,,
"group_control","strip_len","19-18","2_strip",1,,
"group_control","strip_len","19-18","4_strip",2,,
"group_control","strip_len","19-18","6_strip",3,,
,,,,,,
"group_control","user_clip","17-16","disabled",0,,
"group_control","user_clip","17-16","inside_enable",2,,
"group_control","user_clip","17-16","outside_enable",3,,
,,,,,,
"obj_control",,7,"shadow",1,,
,,,,,,
"obj_control","volume",6,"with_two_volumes",1,,
,,,,,,
"obj_control","volume",6,"last_in_volume",1,,
,,,,,,
"obj_control","col_type","5-4","packed_color",0,,
"obj_control","col_type","5-4","floating_color",1,,
"obj_control","col_type","5-4","intensity_mode_1",2,,
"obj_control","col_type","5-4","intensity_mode_2",3,,
,,,,,,
"obj_control",,3,"texture",1,,
"obj_control",,2,"offset",1,,
"obj_control",,1,"gouraud",1,,
"obj_control",,0,"16bit_uv",1,,
